feature,importance
G2,0.7770604534540374
absences,0.12537950004904796
age,0.027445877417200604
health,0.009885351030932351
famrel,0.009281058025488325
G1,0.007362954830309183
Mjob,0.004279905481275155
schoolsup,0.0041735159958226796
reason,0.003854236062028964
activities,0.0028147521739575764
freetime,0.002731212357778974
goout,0.0027237293445788457
Walc,0.002700788706287835
studytime,0.002477188677040524
guardian,0.002438653231342436
Fedu,0.002381185405979427
sex,0.002021145316396968
Medu,0.0019788305873219463
Fjob,0.0016946194470227264
romantic,0.001302009648297012
failures,0.0008985206572624667
famsup,0.0008427526491205451
traveltime,0.0007926258986291262
paid,0.0007872579367651366
nursery,0.0006207638741269451
famsize,0.0005636490177965464
internet,0.0004884361926248013
Dalc,0.0004762418995875506
address,0.00023449598450062415
school,0.00013109856412920134
higher,0.00011100579110221088
Pstatus,6.618429220784215e-05
